state,city,school,score,
RO,ALTA FLORESTA D'OESTE,EEEF EURIDICE LOPES PEDROSO,3.7,
RO,ALTA FLORESTA D'OESTE,EEEFM JUSCELINO KUBITSCHEK DE OLIVEIRA,3.1,
RO,ALTA FLORESTA D'OESTE,EEEF TANCREDO DE ALMEIDA NEVES,NA,
RO,ALTA FLORESTA D'OESTE,EEEFM PE EZEQUIEL RAMIN,3.1,
RO,ARIQUEMES,EEEFM CORA CORALINA,4.2,
RO,ARIQUEMES,EEEF ALBINA MARCIÓ SORDI,3.8,
RO,ARIQUEMES,EEEFM ANISIO TEIXEIRA,3.7,
RO,ARIQUEMES,EEEFM FRANCISCO ALVES MENDES FILHO,2.5,
RO,ARIQUEMES,EEEF JARDIM DAS PEDRAS,3.8,
RO,ARIQUEMES,EEEF MIGRANTES,4.7,
RO,ARIQUEMES,EEEFM HEITOR VILLA LOBOS,3.2,
RO,ARIQUEMES,EEEFM RICARDO CANTANHEDE,3.4,
RO,CABIXI,EEEF CHICO MENDES,NA,
RO,CABIXI,EEEFM PLANALTO,NA,
RO,CABIXI,EEEFM JOSE DE ANCHIETA,3.0,
RO,CACOAL,EEEFM ANTONIO GONCALVES DIAS,3.3,
RO,CACOAL,EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA,2.2,
RO,CACOAL,EEEFM CARLOS DRUMMOND DE ANDRADE,3.2,
RO,CACOAL,EEEFM CORA CORALINA,3.7,
RO,CACOAL,EEEF FREI CANECA,4.0,
RO,CACOAL,EEEFM GRACILIANO RAMOS,3.9,
RO,CACOAL,EEEFM HONORINA LUCAS DE BRITO,3.2,
RO,CACOAL,EEEFM PAULO FREIRE,2.8,
RO,CACOAL,EEEF MARIA AURORA DO NASCIMENTO,3.3,
RO,CACOAL,EEEFM BERNARDO GUIMARAES,4.2,
RO,CACOAL,EEEFM CARLOS GOMES,4.5,
RO,CACOAL,EEEFM CLODOALDO NUNES DE ALMEIDA,3.9,
RO,CACOAL,EEEFM CELSO FERREIRA DA CUNHA,3.0,
RO,CEREJEIRAS,EEEF GOV JERONIMO GARCIA SANTANA,4.1,
RO,CEREJEIRAS,EEEFM TANCREDO DE ALMEIDA NEVES,4.3,
RO,CEREJEIRAS,EEEFM CASTRO ALVES,3.1,
RO,COLORADO DO OESTE,EEEF 16 DE JUNHO,3.5,
RO,COLORADO DO OESTE,EEEF GOV ANGELO ANGELIN,NA,
RO,COLORADO DO OESTE,EEEFM MANUEL BANDEIRA,3.8,
RO,COLORADO DO OESTE,EEEFM PAULO DE ASSIS RIBEIRO,3.2,
RO,CORUMBIARA,EEEF MARECHAL RONDON,3.6,
RO,CORUMBIARA,EEEFM DR OSVALDO PIANA,5.0,
RO,COSTA MARQUES,EEEFM ANGELINA DOS ANJOS,2.7,
RO,COSTA MARQUES,EEEEFM DARCY DA SILVEIRA,4.1,
RO,ESPIGAO D'OESTE,EEEF FERNANDA SOUZA DE PAULA,4.9,
RO,ESPIGAO D'OESTE,EEEFM JEAN PIAGET,3.6,
RO,ESPIGAO D'OESTE,EEEF JERRIS ADRIANI TURATTI,4.6,
RO,ESPIGAO D'OESTE,EEEF VINICIUS DE MORAES,4.5,
RO,ESPIGAO D'OESTE,EEEFM SETE DE SETEMBRO,4.2,
RO,GUAJARANAMIRIM,EEEF ALKINDAR BRASIL DE AROUCA,2.8,
RO,GUAJARANAMIRIM,EEEF ALMIRANTE TAMANDARE,NA,
RO,GUAJARANAMIRIM,EEEF CAP GODOY,2.9,
RO,GUAJARANAMIRIM,EEEFM IRMA MARIA CELESTE,2.9,
RO,GUAJARANAMIRIM,EEEFM ROCHA LEAL,4.0,
RO,GUAJARANAMIRIM,EEEFM SIMON BOLIVAR,3.3,
RO,GUAJARANAMIRIM,IEE PAULO SALDANHA,4.0,
RO,GUAJARANAMIRIM,EEEF SALOMAO JUSTINIANO DE MELGAR,2.7,
RO,JARU,EEEFM CAPITAO SILVIO DE FARIAS,4.1,
RO,JARU,EEEFM PROF DAYSE MARA DE OLIVEIRA MARTINS,2.5,
RO,JARU,EEEF GOV JORGE TEIXEIRA DE OLIVERIA,3.3,
RO,JARU,EEEFM MARECHAL COSTA E SILVA,4.3,
RO,JARU,EEEFM PEDRO VIEIRA DE MELO,4.1,
RO,JARU,EEEFM RAIMUNDO CANTANHEDE,3.5,
RO,JARU,EEEFM PLACIDO CASTRO,4.3,
RO,JINAPARANA,EEEF SILVIO MICHELUZZI,2.6,
RO,JINAPARANA,EEEFM 31 DE MARÇO,3.8,
RO,JINAPARANA,EEEF ANTONIO BIANCO,4.0,
RO,JINAPARANA,EEEF BEATRIZ FERREIRA DA SILVA,3.6,
RO,JINAPARANA,EEEF DR LOURENCO PEREIRA LIMA,NA,
RO,JINAPARANA,EEEFM JANETE CLAIR,3.4,
RO,JINAPARANA,EEEF JARDIM DOS MIGRANTES,4.3,
RO,JINAPARANA,EEEFM JUSCELINO KUBITSCHEK DE OLIVEIRA,2.8,
RO,JINAPARANA,EEEFM MARCOS BISPO SILVA,2.0,
RO,JINAPARANA,EEEF NOVA BRASILIA,3.0,
RO,JINAPARANA,EEEF PROF CARMEM ROCHA BORGES,4.2,
RO,JINAPARANA,EEEF M.PROFª EDILCE DOS SANTOS FREITAS,3.1,
RO,JINAPARANA,EEEFM RIO URUPA,3.6,
RO,JINAPARANA,EEEF TANCREDO DE ALMEIDA NEVES,3.1,
RO,JINAPARANA,EEEFM TUPA,2.6,
RO,JINAPARANA,EEEFM ALUIZIO FERREIRA,2.9,
RO,JINAPARANA,EEEFM CEL JORGE TEIXEIRA DE OLIVEIRA,3.6,
RO,JINAPARANA,EEEFM GONCALVES DIAS,3.9,
RO,JINAPARANA,EEEFM JULIO GUERRA,3.5,
RO,JINAPARANA,EEEFM LAURO BENNO PREDIGER,3.6,
RO,JINAPARANA,EEEFM PROF JOSE FRANCISCO DOS SANTOS,2.9,
RO,JINAPARANA,IEE MARECHAL RONDON,3.4,
RO,MACHADINHO D'OESTE,EEEF ALBERTO NEPOMUCENO,4.2,
RO,MACHADINHO D'OESTE,EEEFM JOAQUIM PEREIRA DA ROCHA,4.0,
RO,NOVA BRASILANDIA D'OESTE,EEEF ROCHA POMBO,5.1,
RO,NOVA BRASILANDIA D'OESTE,EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA,4.2,
RO,NOVA BRASILANDIA D'OESTE,EEEFM PADRE ALEXANDRE DE GUSMÃO,4.0,
RO,OURO PRETO DO OESTE,EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA,3.6,
RO,OURO PRETO DO OESTE,EEEFM DR. HORACIO CARELLI MENDES,4.5,
RO,OURO PRETO DO OESTE,EEEFM MONTEIRO LOBAT0,3.0,
RO,OURO PRETO DO OESTE,EEEFM MARIA DE MATOS E SILVA,3.0,
RO,OURO PRETO DO OESTE,EEEFM 28 DE NOVEMBRO,3.5,
